driverId,week,hours-logged,miles-logged
368,29,78,1500
84,47,78,2900
551,21,65,2700
774,44,50,1200
832,26,69,2500
563,50,69,2800
471,12,55,700
942,7,76,2300
99,33,58,1000
379,45,52,700
682,45,60,1100
909,48,74,3400
453,8,68,300
445,41,74,700
344,41,66,3100
442,49,57,4000
553,13,61,3800
689,27,62,3400
271,2,54,3000
544,10,57,1400
67,8,59,900
391,39,80,3500
416,12,75,800
809,21,70,3000
905,39,64,1900
721,21,58,3100
827,28,53,2000
26,5,70,600
473,6,70,1100
228,18,62,1600
689,23,57,3000
144,49,58,3200
345,47,62,3000
411,13,78,2400
524,23,58,3900
956,47,62,2300
947,30,62,3100
679,48,65,3000
700,11,77,3400
394,44,57,2600
611,30,78,3300
896,15,55,2600
438,45,68,2200
137,49,77,1800
621,14,71,900
576,42,70,400
809,46,67,3700
687,19,61,2000
55,47,53,2000
459,47,55,1700
413,31,74,1000
593,40,73,3100
137,52,53,2900
223,16,61,3300
615,40,55,1400
563,36,75,3400
670,9,51,3900
997,29,59,1300
498,45,79,1900
52,37,65,300
109,51,62,2400
898,28,78,400
274,31,74,3500
886,49,62,900
78,16,70,3800
629,8,50,100
200,33,53,3700
429,30,63,2900
423,15,74,2900
55,39,50,3700
169,28,63,300
1006,8,61,3800
591,52,72,1400
409,34,65,1000
277,12,57,900
762,5,76,3400
64,41,65,900
541,29,61,2400
347,13,77,2400
898,7,75,3800
915,25,61,2700
249,23,50,100
586,20,57,3200
318,33,53,1100
908,33,52,800
854,7,53,1300
890,4,73,1100
11,52,70,2400
591,5,78,200
409,16,58,3900
916,8,80,1600
359,30,50,2600
36,47,68,2900
798,45,52,300
485,8,79,3600
236,28,74,3500
549,26,70,3900
717,51,69,1400
1005,50,64,3900
1008,29,79,300
125,33,54,3700
267,27,71,1700
811,8,55,2500
612,14,70,3300
415,42,61,2500
308,36,80,2900
999,16,73,500
518,39,74,1700
155,17,59,3700
982,32,73,900
801,20,53,1900
181,21,52,3600
145,49,78,1100
261,32,65,1000
732,25,70,400
319,51,58,1500
578,37,52,200
942,32,63,2900
750,17,73,0
369,7,65,2700
842,32,64,1900
345,39,80,3000
72,10,62,1500
855,41,78,2400
216,40,74,2000
310,49,55,1400
726,9,59,100
692,51,69,3700
292,39,68,3600
956,51,64,1700
846,15,65,1800
525,17,76,500
1003,25,54,2500
126,37,55,500
556,26,62,1000
981,21,80,2800
48,5,75,2500
740,23,78,1000
59,6,56,1000
675,26,59,700
850,31,55,300
435,39,66,3800
646,45,62,3000
459,30,70,1400
968,21,75,1400
67,26,58,3000
290,11,80,300
717,36,58,2200
203,5,75,2600
321,21,59,1800
37,2,63,600
459,37,72,3900
918,20,57,1600
203,15,68,1200
925,46,61,0
422,32,80,500
464,3,57,2600
619,33,54,1900
747,42,54,1500
66,17,53,1600
49,41,75,3600
724,11,65,3700
987,45,57,3000
942,52,60,300
